85 120
0 0 E
0 2 SN
0 3 EN
0 4 SNW
0 6 EN
0 7 SNW
0 10 ESN
0 11 ENW
0 12 ENW
0 13 SNW
0 14 EN
0 16 ESN
0 18 SN
0 21 SN
0 22 EN
0 24 SN
0 25 ESN
0 26 ENW
0 27 SNW
0 28 EN
0 29 ENW
0 30 SNW
0 31 SN
0 33 EN
0 35 ESN
0 36 SNW
0 37 EN
0 38 SNW
0 39 SN
0 40 EN
0 42 ESN
0 44 ESN
0 45 SNW
0 47 ESN
0 49 SN
0 51 SN
0 52 EN
0 53 ENW
0 54 ENW
0 55 ENW
0 56 ENW
0 57 SNW
0 59 ESN
0 61 SN
0 62 SN
0 64 ESN
0 65 ENW
0 67 EN
0 68 ENW
0 69 ENW
0 70 ENW
0 71 ENW
0 72 ENW
0 73 ENW
0 74 SNW
0 75 SN
0 76 EN
0 77 SNW
0 79 SN
0 80 EN
0 82 SN
0 84 ESN
0 86 EN
0 87 ENW
0 88 SNW
0 89 SN
0 91 ESN
0 92 SNW
0 93 EN
0 94 ENW
0 95 ENW
0 96 ENW
0 97 SNW
0 98 EN
0 100 SN
0 101 ESN
0 102 ENW
0 104 ESN
0 105 ENW
0 106 SNW
0 107 EN
0 109 ESN
0 110 SNW
0 111 SN
0 112 SN
0 113 EN
0 114 ENW
0 115 SNW
0 116 SN
0 117 EN
0 118 ENW
0 119 ENW
1 0 EW
1 2 ESN
1 3 SW
1 4 ESN
1 5 EW
1 7 SN
1 8 E
1 9 SW
1 10 ESN
1 11 SW
1 12 S
1 14 S
1 15 S
1 17 S
1 18 EN
1 19 ESW
1 20 EW
1 21 SNW
1 22 S
1 24 ESN
1 26 ES
1 27 SNW
1 30 ESN
1 31 SNW
1 32 E
1 33 SW
1 34 S
1 35 SN
1 36 EN
1 37 EW
1 38 SNW
1 42 ESN
1 44 SN
1 46 E
1 47 ENW
1 48 SW
1 49 ESN
1 51 ESN
1 52 SW
1 53 ES
1 54 SW
1 55 E
1 56 EW
1 57 SNW
1 58 E
1 61 EN
1 62 ENW
1 64 SN
1 65 E
1 66 EW
1 67 SW
1 69 S
1 70 E
1 71 EW
1 72 EW
1 73 EW
1 74 SNW
1 76 E
1 78 E
1 79 SNW
1 80 E
1 81 EW
1 82 ENW
1 83 SW
1 84 ESN
1 85 EW
1 86 SW
1 87 ES
1 88 SNW
1 91 SN
1 93 E
1 94 EW
1 95 EW
1 96 SW
1 97 SN
1 98 S
1 100 ESN
1 101 ENW
1 103 ES
1 105 E
1 106 ENW
1 108 S
1 109 SN
1 110 SN
1 111 ESN
1 112 ENW
1 116 ESN
1 119 ES
2 0 EW
2 2 SN
2 4 ESN
2 5 EW
2 6 SW
2 7 ESN
2 8 EW
2 9 SNW
2 10 EN
2 12 SN
2 13 E
2 14 ENW
2 17 ESN
2 18 ESW
2 19 ENW
2 20 ESW
2 21 ENW
2 23 S
2 24 ESN
2 26 SN
2 27 SN
2 28 E
2 29 SW
2 30 ESN
2 31 ENW
2 32 EW
2 33 SNW
2 34 EN
2 35 ENW
2 36 SW
2 38 ESN
2 39 ESW
2 40 EW
2 41 ESW
2 42 SNW
2 43 ES
2 44 SNW
2 45 E
2 46 SW
2 47 S
2 49 EN
2 51 SN
2 52 EN
2 53 ENW
2 54 SNW
2 56 E
2 57 ENW
2 58 SW
2 59 ES
2 60 ESW
2 61 EW
2 62 SW
2 63 S
2 64 ESN
2 65 EW
2 66 ESW
2 67 ENW
2 68 ESW
2 69 SNW
2 71 S
2 73 S
2 74 SN
2 75 E
2 76 ESW
2 77 EW
2 78 ESW
2 79 SNW
2 80 S
2 81 S
2 82 E
2 83 ENW
2 84 ENW
2 85 EW
2 88 ESN
2 89 EW
2 90 SW
2 91 EN
2 92 ESW
2 93 EW
2 94 SW
2 95 E
2 97 EN
2 98 SNW
2 99 S
2 100 EN
2 102 S
2 103 SN
2 104 ES
2 107 S
2 109 SN
2 110 ESN
2 112 E
2 113 ESW
2 114 EW
2 115 SW
2 116 EN
2 117 ESW
2 118 SW
2 119 EN
3 0 EW
3 1 EW
3 2 SNW
3 5 S
3 6 EN
3 7 SNW
3 8 S
3 9 SN
3 10 E
3 11 ESW
3 12 ENW
3 13 EW
3 15 E
3 17 EN
3 18 ENW
3 19 EW
3 20 SNW
3 22 E
3 23 SNW
3 24 EN
3 25 ESW
3 26 ENW
3 27 ENW
3 28 SW
3 31 S
3 32 E
3 33 SNW
3 35 S
3 36 EN
3 37 SW
3 38 ESN
3 40 S
3 41 ESN
3 43 SN
3 44 SN
3 45 E
3 47 ESN
3 48 ESW
3 49 ESW
3 50 ESW
3 52 ES
3 53 SW
3 54 EN
3 55 ESW
3 57 S
3 58 SN
3 59 EN
3 60 ENW
3 64 EN
3 65 SW
3 66 ESN
3 67 EW
3 68 ENW
3 69 ENW
3 70 ESW
3 72 E
3 73 SNW
3 74 EN
3 76 ESN
3 77 SW
3 78 EN
3 79 ENW
3 81 ESN
3 82 ESW
3 86 ES
3 87 ESW
3 88 ENW
3 89 ESW
3 90 ENW
3 91 SW
3 92 ESN
3 94 ESN
3 95 EW
3 96 EW
3 97 EW
3 98 SNW
3 99 EN
3 102 SN
3 103 SN
3 104 ESN
3 105 ESW
3 106 EW
3 107 SNW
3 108 E
3 109 ENW
3 110 SNW
3 111 E
3 112 ESW
3 113 ENW
3 114 EW
3 115 ENW
3 116 ESW
3 117 ENW
3 118 ENW
3 119 EW
4 1 S
4 2 ESN
4 3 EW
4 4 ESW
4 5 ENW
4 6 EW
4 7 SNW
4 8 SN
4 9 SN
4 10 S
4 11 SN
4 12 E
4 13 EW
4 14 ESW
4 15 ESW
4 16 ESW
4 17 SW
4 18 ES
4 19 SW
4 20 SN
4 21 ES
4 22 EW
4 23 SNW
4 25 ESN
4 26 EW
4 28 SN
4 29 ES
4 30 ESW
4 32 S
4 33 ESN
4 34 ESW
4 35 SNW
4 36 E
4 38 ESN
4 39 EW
4 40 SNW
4 44 EN
4 45 SW
4 46 ES
4 47 SNW
4 48 EN
4 49 ENW
4 51 ES
4 53 EN
4 54 EW
4 55 SNW
4 56 ES
4 59 S
4 61 ES
4 62 ESW
4 63 EW
4 64 ESW
4 65 ENW
4 66 SNW
4 68 S
4 70 SN
4 71 E
4 72 SW
4 73 EN
4 74 SW
4 75 ES
4 76 SNW
4 78 ES
4 80 S
4 81 SN
4 83 ES
4 84 ESW
4 85 ESW
4 86 ENW
4 88 ES
4 89 SNW
4 91 ESN
4 92 SNW
4 94 SN
4 95 S
4 96 ES
4 98 EN
4 99 SW
4 100 E
4 101 SW
4 102 SN
4 103 EN
4 104 ENW
4 105 ENW
4 106 EW
4 107 SNW
4 108 ES
4 110 SN
4 111 ES
4 113 E
4 115 E
4 116 ENW
4 117 SW
4 119 E
5 0 SW
5 1 ESN
5 2 ENW
5 3 EW
5 4 ENW
5 6 ES
5 7 SNW
5 8 EN
5 10 SN
5 12 E
5 14 ESN
5 15 SNW
5 18 ESN
5 19 ENW
5 20 SNW
5 21 EN
5 22 SW
5 23 EN
5 27 S
5 28 ESN
5 29 SNW
5 31 S
5 32 EN
5 34 SN
5 35 EN
5 36 SW
5 38 EN
5 39 SW
5 40 SN
5 41 ES
5 42 ESW
5 43 EW
5 44 SW
5 45 EN
5 47 ESN
5 50 ES
5 51 SNW
5 52 E
5 53 ESW
5 54 EW
5 57 ES
5 58 EW
5 59 ENW
5 60 EW
5 62 ESN
5 63 ESW
5 65 S
5 66 SN
5 67 ES
5 68 SNW
5 70 ESN
5 71 EW
5 72 SNW
5 73 E
5 74 SNW
5 75 SN
5 77 S
5 78 ESN
5 80 ESN
5 81 ENW
5 82 EW
5 83 ENW
5 84 SNW
5 87 ES
5 88 SNW
5 90 ES
5 92 SN
5 93 ES
5 95 ESN
5 96 SNW
5 97 E
5 98 EW
5 99 ENW
5 101 ESN
5 102 ENW
5 104 E
5 105 EW
5 106 EW
5 109 S
5 111 ESN
5 112 ESW
5 114 ES
5 115 ESW
5 117 EN
5 118 EW
5 119 EW
6 1 SN
6 2 E
6 4 ES
6 5 SW
6 6 ESN
6 8 S
6 10 EN
6 11 ESW
6 15 ESN
6 16 ESW
6 17 SW
6 19 E
6 21 ES
6 24 E
6 25 ESW
6 26 EW
6 27 SNW
6 29 ESN
6 30 EW
6 31 ENW
6 32 ESW
6 34 ESN
6 35 ESW
6 37 E
6 38 EW
6 40 EN
6 41 ENW
6 42 SNW
6 43 E
6 44 SNW
6 45 S
6 46 S
6 47 SN
6 48 ES
6 49 SW
6 50 ESN
6 51 SNW
6 53 SN
6 54 E
6 55 EW
6 56 SW
6 57 ESN
6 58 SW
6 59 ES
6 60 EW
6 62 SN
6 63 SN
6 66 SN
6 67 SN
6 68 EN
6 69 EW
6 71 ES
6 72 ENW
6 74 SN
6 75 EN
6 77 SN
6 78 ESN
6 79 SW
6 80 ESN
6 82 ES
6 83 SW
6 85 ES
6 86 ESW
6 88 SN
6 89 S
6 90 SN
6 91 S
6 92 EN
6 93 SNW
6 95 SN
6 97 ES
6 100 E
6 102 S
6 103 ES
6 104 SW
6 105 E
6 107 ES
6 109 ESN
6 110 EW
6 111 SNW
6 113 ES
6 115 SN
6 116 ES
6 117 ESW
6 118 EW
6 119 ESW
7 0 SW
7 1 ESN
7 2 SW
7 5 SN
7 6 ESN
7 7 EW
7 8 ENW
7 9 EW
7 10 EW
7 11 ENW
7 12 EW
7 13 ESW
7 14 SW
7 15 ESN
7 16 ENW
7 17 ENW
7 18 ESW
7 20 S
7 22 E
7 23 EW
7 24 SW
7 25 ESN
7 28 E
7 29 SNW
7 30 S
7 31 S
7 33 S
7 36 ES
7 37 ESW
7 38 ESW
7 39 EW
7 40 ESW
7 42 SN
7 43 S
7 44 ESN
7 47 SN
7 48 SN
7 49 SN
7 50 SN
7 51 SN
7 52 ES
7 54 E
7 55 SW
7 57 ESN
7 58 SNW
7 60 E
7 61 SW
7 62 ESN
7 63 SNW
7 64 ES
7 65 ESW
7 66 SNW
7 67 SN
7 68 ES
7 69 ESW
7 71 EN
7 72 EW
7 73 SW
7 74 EN
7 75 SW
7 76 ES
7 78 ESN
7 80 ESN
7 82 SN
7 83 SN
7 85 SN
7 86 ESN
7 88 EN
7 89 SNW
7 90 EN
7 91 SNW
