40 40
0 0 E
0 1 SNW
0 2 SN
0 3 EN
0 4 SNW
0 6 EN
0 7 ENW
0 8 SNW
0 9 EN
0 10 ENW
0 12 EN
0 13 ENW
0 14 ENW
0 16 ESN
0 17 SNW
0 18 EN
0 20 SN
0 21 EN
0 22 SNW
0 23 EN
0 25 ESN
0 26 ENW
0 28 ESN
0 29 SNW
0 30 SN
0 31 EN
0 33 SN
0 34 SN
0 35 ESN
0 36 ENW
0 38 SN
0 39 EN
1 0 EW
1 1 ENW
1 2 SNW
1 3 E
1 4 SNW
1 5 E
1 6 EW
1 7 SW
1 8 EN
1 11 E
1 12 SW
1 13 S
1 14 S
1 15 S
1 17 SN
1 18 S
1 19 S
1 20 ESN
1 21 ESW
1 23 ES
1 25 SN
1 26 E
1 28 SN
1 30 SN
1 31 E
1 33 ESN
1 34 ENW
1 35 ENW
1 36 SW
1 37 ES
1 39 ES
2 0 SW
2 1 E
2 3 ES
2 4 SNW
2 5 ES
2 6 SW
2 7 EN
2 8 EW
2 9 EW
2 10 ESW
2 12 EN
2 14 ESN
2 15 SNW
2 16 S
2 17 EN
2 19 SN
2 20 ESN
2 21 SNW
2 23 ESN
2 24 ESW
2 26 ES
2 27 EW
2 29 S
2 30 EN
2 31 ESW
2 33 ESN
2 35 E
2 37 SN
2 38 S
2 39 EN
3 1 S
3 2 S
3 3 SN
3 4 EN
3 5 SNW
3 7 ES
3 8 EW
3 9 EW
3 10 SNW
3 11 ES
3 12 EW
3 13 EW
3 15 EN
3 16 SNW
3 17 E
3 19 SN
3 20 SN
3 21 ESN
3 23 SN
3 24 ESN
3 26 EN
3 27 ESW
3 28 SW
3 29 ESN
3 31 ESN
3 32 SW
3 33 SN
3 34 E
3 36 S
3 37 SN
3 38 EN
3 39 EW
4 0 ESW
4 1 ENW
4 3 ESN
4 4 SW
4 6 ES
4 7 ENW
4 9 ES
4 11 ESN
4 12 SW
4 13 E
4 14 ESW
4 16 ESN
4 17 SW
4 19 SN
4 20 EN
4 22 S
4 24 ESN
4 25 ESW
4 27 SN
4 28 SN
4 29 EN
4 31 SN
4 32 SN
4 33 SN
4 34 E
4 35 EW
4 36 ENW
4 37 ENW
4 38 ESW
4 39 ESW
5 0 ENW
5 2 S
5 3 EN
5 4 ENW
5 6 ESN
5 7 EW
5 8 ESW
5 9 ENW
5 10 EW
5 11 SNW
5 12 SN
5 13 S
5 15 S
5 16 SN
5 17 ESN
5 18 SW
5 19 ESN
5 20 SW
5 21 S
5 22 ESN
5 23 SW
5 24 EN
5 25 SNW
5 27 EN
5 28 ENW
5 29 EW
5 30 ESW
5 31 ENW
5 32 SNW
5 33 EN
5 34 ESW
5 36 S
5 38 SN
5 39 EN
6 0 SW
6 1 E
6 2 ENW
6 3 EW
6 5 ES
6 6 ENW
6 7 EW
6 8 SNW
6 10 S
6 11 EN
6 12 SNW
6 14 ES
6 16 ESN
6 18 ESN
6 19 SNW
6 20 SN
6 21 SN
6 24 E
6 25 SNW
6 26 E
6 28 ES
6 29 ESW
6 32 EN
6 34 SN
6 35 S
6 36 ESN
6 38 EN
6 39 ESW
7 0 ENW
7 1 EW
7 2 EW
7 3 SW
7 4 ES
7 6 E
7 9 S
7 10 EN
7 11 SW
7 12 ESN
7 13 EW
7 14 SNW
7 15 E
7 18 ESN
7 20 ESN
7 21 ENW
7 22 ESW
7 23 EW
7 24 SW
7 26 ES
7 27 ESW
7 28 SNW
7 29 SN
7 30 E
7 31 ESW
7 32 SW
7 34 ESN
7 35 ENW
7 36 SNW
7 37 ES
7 38 EW
7 39 ENW
8 0 SW
8 1 S
8 2 S
8 3 EN
8 5 ES
8 6 SW
8 7 ES
8 8 EW
8 9 ENW
8 12 ESN
8 13 ESW
8 15 ES
8 16 ESW
8 18 SN
8 19 S
8 20 SN
8 23 S
8 24 ESN
8 25 SW
8 28 ESN
8 30 ES
8 31 ENW
8 34 SN
8 35 E
8 36 SNW
8 37 EN
8 38 SW
8 39 E
9 0 SNW
9 1 SN
9 2 EN
9 3 EW
9 4 EW
9 6 EN
9 8 E
9 9 EW
9 10 ESW
9 11 SW
9 12 SN
9 13 EN
9 15 SN
9 17 ES
9 19 ESN
9 20 SNW
9 21 E
9 24 SN
9 25 ESN
9 26 ESW
9 27 EW
9 30 ESN
9 32 ES
9 33 SW
9 34 ESN
9 36 EN
9 37 SW
9 39 E
10 0 ENW
10 1 SNW
10 3 S
10 4 S
10 5 E
10 6 EW
10 7 ESW
10 8 EW
10 10 EN
10 12 SN
10 13 ES
10 14 ESW
10 16 S
10 18 S
10 19 EN
10 20 ENW
10 21 EW
10 22 ESW
10 24 ESN
10 25 SNW
10 26 EN
10 27 ESW
10 28 EW
10 29 EW
10 30 SNW
10 31 S
10 32 ESN
10 33 SNW
10 35 E
10 36 EW
10 37 SNW
10 38 ES
10 39 ESW
11 0 EW
11 1 SNW
11 2 ES
11 4 SN
11 5 ES
11 6 SW
11 7 EN
11 8 ESW
11 9 EW
11 11 S
11 12 SN
11 13 SN
11 15 S
11 16 ESN
11 17 ESW
11 19 ES
11 20 SW
11 21 S
11 22 ESN
11 23 ESW
11 24 SNW
11 25 SN
11 27 EN
11 28 EW
11 29 EW
11 30 ENW
11 31 ENW
11 32 SNW
11 33 EN
11 34 ESW
11 35 EW
11 36 SW
11 38 ESN
11 39 ENW
12 0 EW
12 1 SNW
12 5 EN
12 6 SNW
12 7 ES
12 8 ENW
12 9 EW
12 10 SW
12 11 SN
12 12 ESN
12 13 SNW
12 14 ES
12 15 ENW
12 16 SNW
12 18 S
12 19 ESN
12 20 ENW
12 23 ESN
12 24 SNW
12 25 SN
12 26 E
12 27 ESW
12 28 EW
12 29 ESW
12 33 S
12 34 EN
12 36 ESN
12 37 SW
12 39 E
13 1 ESN
13 2 ESW
13 3 EW
13 4 ESW
13 5 ESW
13 8 ES
13 9 ESW
13 10 ENW
13 11 SNW
13 13 SN
13 14 SN
13 17 ES
13 18 ENW
13 20 S
13 21 ES
13 22 ESW
13 24 SN
13 25 ESN
13 26 SW
13 28 E
13 30 E
13 31 ESW
13 32 ESW
13 33 SNW
13 35 S
13 36 ESN
13 38 E
13 39 EW
14 0 EW
14 2 ESN
14 3 SW
14 5 SN
14 6 E
14 7 EW
14 8 ENW
14 9 ENW
14 11 ESN
14 12 EW
14 13 SNW
14 14 SN
14 15 E
14 16 EW
14 20 ESN
14 21 SNW
14 24 SN
14 25 ESN
14 26 SNW
14 27 E
14 28 ESW
14 29 ESW
14 30 EW
14 31 SNW
14 32 EN
14 33 SNW
14 35 SN
14 36 ESN
14 37 EW
14 38 ESW
14 39 ESW
15 0 SW
15 2 SN
15 4 S
15 5 EN
15 6 ESW
15 7 ESW
15 8 SW
15 10 S
15 11 EN
15 12 EW
15 14 ESN
15 15 EW
15 16 SW
15 17 E
15 18 ESW
15 20 SN
