87 119
0 1 SN
0 2 ESN
0 4 SN
0 5 SN
0 6 ESN
0 7 SNW
0 8 EN
0 9 SNW
0 11 SN
0 12 EN
0 14 SN
0 15 EN
0 18 ESN
0 19 SNW
0 20 EN
0 21 ENW
0 23 EN
0 26 EN
0 27
0 28 SN
0 29 SN
0 30 EN
0 32 SN
0 33 ESN
0 34 ENW
0 36 SN
0 38 SN
0 39 SN
0 40 ESN
0 41 SNW
0 43 ESN
0 45 SN
0 46 ESN
0 47 SNW
0 48 EN
0 49 ENW
0 50 ENW
0 52 SN
0 53 SN
0 54 SN
0 56 ESN
0 57 SNW
0 60 ESN
0 61 ENW
0 63 EN
0 65 ESN
0 66 SNW
0 68 ESN
0 70 SN
0 71 EN
0 72 ENW
0 73 SNW
0 75 EN
0 76 ENW
0 78 SN
0 79 SN
0 80 SN
0 81 SN
0 82 SN
0 84 ESN
0 85 ENW
0 86 SNW
0 87 SN
0 89 SN
0 91 EN
0 93 ESN
0 94 ENW
0 95 SNW
0 98 ESN
0 99 SNW
0 100 EN
0 101 ENW
0 102 ENW
0 104 EN
0 107 ESN
0 108 SNW
0 109 EN
0 110 SNW
0 111 EN
0 112 ENW
0 114 EN
0 116 EN
0 117 SNW
0 118 EN
0 119 NS
1 0 EW
1 1 ENW
1 3 ES
1 4 ENW
1 5 SNW
1 6 EN
1 8 S
1 10 ES
1 11 ENW
1 12 ESW
1 13 ESW
1 14 SNW
1 16 ES
1 17 SW
1 19 SN
1 20 S
1 21 S
1 22 E
1 23 ESW
1 24 EW
1 25 ESW
1 27 S
1 28 ESN
1 30 ES
1 31 SW
1 32 EN
1 33 ENW
1 34 SW
1 35 E
1 36 SNW
1 37 S
1 38 EN
1 40 EN
1 42 ES
1 44 ES
1 45 SNW
1 47 SN
1 49 S
1 50 ES
1 51 SW
1 52 SN
1 53 ESN
1 54 ENW
1 57 EN
1 58 EW
1 59 ESW
1 61 ES
1 62 ESW
1 63 EW
1 64 SW
1 66 ESN
1 67 SW
1 68 EN
1 70 ESN
1 71 ESW
1 72 SW
1 73 EN
1 74 ESW
1 75 SW
1 76 E
1 77 SW
1 78 ESN
1 79 ENW
1 80 ENW
1 81 SNW
1 83 S
1 85 S
1 86 ESN
1 87 ENW
1 89 ESN
1 90 ESW
1 91 ESW
1 92 SW
1 93 EN
1 94 SW
1 95 EN
1 96 EW
1 97 ESW
1 98 ENW
1 102 S
1 103 ES
1 104 ESW
1 105 EW
1 106 ESW
1 108 ESN
1 109 EW
1 111 S
1 112 S
1 113 E
1 115 ES
1 118 ES
2 0 SW
2 1 S
2 2 E
2 4 ES
2 5 SNW
2 6 E
2 8 ESN
2 9 ESW
2 10 SNW
2 12 SN
2 13 EN
2 14 SNW
2 15 S
2 16 SN
2 17 ESN
2 18 SW
2 19 SN
2 20 EN
2 21 SNW
2 22 S
2 23 SN
2 24 ES
2 26 S
2 27 ESN
2 28 ENW
2 29 ESW
2 30 ENW
2 32 ES
2 33 EW
2 34 SNW
2 36 ESN
2 38 S
2 39 E
2 41 S
2 42 ESN
2 43 EW
2 45 SN
2 47 ESN
2 48 ESW
