173 237
0 0 E
0 2 SN
0 3 SN
0 5 ESN
0 6 ENW
0 7 ENW
0 9 SN
0 10 ESN
0 11 ENW
0 12 ENW
0 13 SNW
0 15 ESN
0 17 SN
0 18 ESN
0 20 SN
0 22 ESN
0 23 SNW
0 24 EN
0 25 ENW
0 26 ENW
0 27 ENW
0 28 SNW
0 30 SN
0 31 EN
0 32 SNW
0 33 EN
0 35 ESN
0 36 ENW
0 38 SN
0 39 ESN
0 40 SNW
0 42 EN
0 43 ENW
0 44 ENW
0 45 SNW
0 46 EN
0 47 ENW
0 48 SNW
0 49 EN
0 50 SNW
0 53 ESN
0 54 ENW
0 55 ENW
0 56 SNW
0 57 SN
0 59 SN
0 60 SN
0 61 ESN
0 62 ENW
0 65 SN
0 66 ESN
0 67 SNW
0 68 SN
0 69 EN
0 70 SNW
0 71 EN
0 73 EN
0 74 ENW
0 76 SN
0 77 ESN
0 79 ESN
0 80 ENW
0 81 SNW
0 83 SN
0 84 ESN
0 85 SNW
0 87 EN
0 89 SN
0 90 SN
0 91 EN
0 92 SNW
0 94 SN
0 95 ESN
0 96 SNW
0 97 EN
0 99 EN
0 101 SN
0 102 EN
0 104 SN
0 105 ESN
0 106 SNW
0 109 ESN
0 110 SNW
0 111 SN
0 113 EN
0 114 SNW
0 116 SN
0 117 SN
0 118 SN
0 119 SN
0 120 EN
0 121 ENW
0 122 ENW
0 123 ENW
0 125 SN
0 126 EN
0 127 SNW
0 128 EN
0 129 ENW
0 130 SNW
0 131 SN
0 133 ESN
0 135 ESN
0 136 ENW
0 138 SN
0 139 SN
0 140 EN
0 141 SNW
0 142 EN
0 143 ENW
0 144 ENW
0 146 ESN
0 147 ENW
0 149 EN
0 151 EN
0 152 SNW
0 153 SN
0 154 SN
0 156 EN
0 157 SNW
0 158 EN
0 159 SNW
0 160 EN
0 162 SN
0 163 ESN
0 165 SN
0 169 SN
0 171 SN
0 172 ESN
0 175 ESN
0 176 ENW
0 177 ENW
0 179 SN
0 180 SN
0 181 SN
0 183 SN
0 184 SN
0 186 EN
0 188 ESN
0 190 EN
0 194 EN
0 195 ENW
0 198 EN
0 200 ESN
0 201 ENW
0 203 ESN
0 204 ENW
0 206 ESN
0 207 SNW
0 209 SN
0 211 ESN
0 212 ENW
0 213 SNW
0 215 ESN
0 216 SNW
0 217 EN
0 218 SNW
0 220 SN
0 221 SN
0 222 ESN
0 223 ENW
0 224 SNW
0 225 SN
0 226 SN
0 227 EN
0 228 SNW
0 229 SN
0 230 SN
0 231 SN
0 232 EN
0 235 EN
0 236 ENW
1 0 SW
1 2 SN
1 3 EN
1 4 SW
1 6 E
1 8 ES
1 9 SNW
1 10 EN
1 11 EW
1 13 ESN
1 14 EW
1 15 ENW
1 16 SW
1 17 EN
1 20 ESN
1 21 EW
1 22 SNW
1 23 EN
1 24 SW
1 25 E
1 26 EW
1 27 EW
1 30 ESN
1 31 SW
1 32 EN
1 34 S
1 36 ES
1 37 EW
1 39 ESN
1 41 E
1 42 EW
1 44 E
1 45 ENW
1 47 S
1 50 ESN
1 51 ESW
1 52 EW
1 53 SNW
1 54 S
1 56 SN
1 57 EN
1 58 EW
1 59 SNW
1 60 SN
1 61 SN
1 63 ES
1 64 ESW
1 65 ENW
1 66 SNW
1 67 EN
1 68 SNW
1 70 EN
1 71 SW
1 72 E
1 73 EW
1 77 SN
1 78 ES
1 79 ENW
1 80 SW
1 82 ES
1 83 SNW
1 84 SN
1 85 SN
1 86 E
1 87 EW
1 89 ESN
1 90 SNW
1 91 ES
1 92 SNW
1 93 E
1 95 SN
1 96 SN
1 97 E
1 98 ESW
1 100 S
1 101 EN
1 102 ESW
1 103 EW
1 104 ENW
1 105 SNW
1 107 ES
1 108 ESW
1 109 SNW
1 110 SN
1 111 EN
1 112 ESW
1 113 EW
1 116 SN
1 117 SN
1 118 SN
1 119 ESN
1 121 S
1 122 ES
1 123 SW
1 124 E
1 125 ENW
1 126 EW
1 128 ES
1 130 EN
1 132 ES
1 133 ENW
1 134 EW
1 136 E
1 137 ESW
1 139 ESN
1 140 EW
1 141 SNW
1 142 S
1 143 E
1 146 SN
1 147 S
1 148 ES
1 150 E
1 153 EN
1 154 ENW
1 155 ESW
1 156 SW
1 157 SN
1 158 E
1 160 S
1 161 S
1 163 EN
1 164 EW
1 165 SNW
1 166 ES
1 167 ESW
1 168 EW
1 169 ENW
1 170 ESW
1 171 SNW
1 172 SN
1 173 ES
1 174 EW
1 176 S
1 177 S
1 178 ES
1 179 ENW
1 182 S
1 183 ESN
1 184 SNW
1 185 E
1 186 SW
1 187 ES
1 188 SNW
1 189 ES
1 190 EW
1 191 EW
1 192 ESW
1 193 ESW
1 194 ESW
1 195 SW
1 196 ES
1 197 EW
1 198 ESW
1 200 ESN
1 202 S
1 204 ES
1 205 EW
1 207 ESN
1 208 EW
1 209 SNW
1 210 S
1 211 SN
1 214 ES
1 216 SN
1 217 S
1 218 EN
1 219 EW
1 220 ENW
1 221 SNW
1 223 S
1 224 ESN
1 225 SNW
1 227 ES
1 228 SNW
1 229 SN
1 231 EN
1 232 SW
1 233 ES
1 234 EW
1 235 SW
1 236 ES
2 0 SNW
2 1 S
2 2 EN
2 3 ESW
2 5 ES
2 6 EW
2 8 ESN
2 9 ENW
2 10 SW
2 13 EN
2 15 ES
2 16 SNW
2 17 E
2 18 EW
2 19 ESW
2 20 SNW
2 22 EN
2 24 EN
2 27 S
2 28 ES
2 29 SW
2 30 EN
2 31 ENW
2 33 ES
2 34 SNW
2 35 E
2 37 ES
2 38 EW
2 40 ES
2 41 ESW
2 42 SW
2 43 ES
2 44 ESW
2 46 E
2 47 ENW
2 48 EW
2 49 EW
2 50 SNW
2 51 SN
2 53 SN
2 54 ESN
2 56 EN
2 57 SW
2 58 S
2 59 ESN
2 60 ENW
2 61 ENW
2 63 ESN
2 64 ENW
2 65 SW
2 66 SN
2 67 E
2 68 SNW
2 69 E
2 70 ESW
2 71 ENW
2 72 EW
2 73 SW
2 74 E
2 75 ESW
2 76 SW
2 77 EN
2 78 ENW
2 79 SW
2 81 S
2 82 SN
2 83 SN
2 85 ESN
2 86 ESW
2 88 S
2 89 EN
2 90 SNW
2 91 EN
2 92 SNW
2 93 E
2 94 EW
2 95 ENW
2 96 SNW
2 97 S
2 99 S
2 100 ESN
2 101 SW
2 102 EN
2 103 EW
2 105 SN
2 106 ES
2 108 EN
2 109 SNW
2 111 S
2 112 ESN
2 113 EW
2 114 EW
2 115 SW
2 117 ESN
2 118 ENW
2 119 ENW
2 121 SN
2 122 EN
2 123 ENW
2 125 E
2 126 ESW
2 127 EW
2 128 ENW
2 129 ESW
2 131 E
2 135 E
2 136 ESW
2 138 S
2 140 S
2 142 SN
2 143 E
2 144 EW
2 145 SW
2 146 EN
2 147 ENW
2 149 ES
2 150 ESW
2 151 ESW
2 152 EW
2 153 SW
2 154 ES
2 155 ENW
2 156 ENW
2 157 SNW
2 159 E
2 161 SN
2 162 ES
2 163 SW
2 165 SN
2 166 EN
2 169 ES
2 171 SN
2 172 EN
2 173 SNW
2 174 S
2 175 S
2 177 ESN
2 178 ENW
2 179 SW
2 180 E
2 181 ESW
2 182 SNW
2 183 EN
2 184 SNW
2 186 SN
2 187 SN
2 188 ESN
2 189 SNW
2 190 S
2 193 SN
2 194 SN
2 197 S
2 198 ESN
2 200 ESN
2 201 EW
2 202 SNW
2 203 ES
2 205 E
2 207 EN
2 209 SN
2 210 ESN
2 212 E
2 213 ESW
2 214 SNW
2 215 E
2 217 ESN
2 218 ESW
2 219 SW
2 221 ESN
2 223 SN
2 224 SN
2 225 EN
2 227 SN
2 228 SN
2 229 ESN
2 230 ESW
2 232 SN
2 233 ESN
2 235 SN
2 236 EN
3 0 SNW
3 1 EN
3 2 EW
3 3 SNW
3 4 E
3 5 ENW
3 6 ESW
3 7 EW
3 8 ENW
3 10 SN
3 11 ES
3 12 ESW
3 13 EW
3 15 EN
3 16 SNW
3 17 S
3 18 S
3 19 SN
3 20 ESN
3 21 EW
3 22 SW
3 23 E
3 24 SW
3 25 ES
3 27 ESN
3 29 ESN
3 30 EW
3 31 SW
3 32 ES
3 33 SNW
3 34 SN
3 35 S
3 36 S
3 38 S
3 40 SN
3 42 ESN
3 43 ENW
3 44 ENW
3 45 EW
3 46 ESW
3 48 ES
3 49 EW
3 51 SN
3 52 E
3 54 SN
3 55 ES
3 57 EN
3 59 SN
3 60 S
3 61 S
3 62 S
3 63 EN
3 64 EW
3 65 ENW
3 67 ES
3 68 ENW
3 69 EW
3 70 SNW
3 72 ES
3 73 SNW
3 74 S
3 76 ESN
3 77 ESW
3 78 EW
3 80 S
3 81 SN
3 82 SN
3 83 ESN
3 84 ESW
3 85 ENW
3 87 E
3 88 ENW
3 89 EW
3 91 ES
3 92 SNW
3 93 S
3 94 E
3 95 SW
3 97 SN
3 99 ESN
3 100 ENW
3 101 SNW
3 103 S
3 104 E
3 105 SNW
3 107 ES
3 108 ESW
3 110 S
3 112 ESN
3 114 E
3 116 S
3 117 ESN
3 118 SW
3 120 S
3 121 ESN
3 122 SW
3 123 S
3 124 ES
3 125 SW
3 126 ESN
3 128 S
3 129 EN
3 130 ESW
3 131 SW
3 132 E
3 133 ESW
3 134 EW
3 135 EW
3 136 SNW
3 138 ESN
3 139 ESW
3 140 ENW
3 141 ESW
3 142 SNW
3 145 EN
3 146 ESW
3 147 SW
3 148 S
3 149 SN
3 151 ESN
3 153 EN
3 154 SNW
3 156 S
3 157 EN
3 158 ESW
3 159 ESW
3 161 SN
3 163 ESN
3 164 EW
3 166 ES
3 167 ESW
3 168 ESW
3 170 ES
3 171 ENW
3 172 EW
3 173 ENW
3 176 ES
3 177 ENW
3 178 SW
3 179 EN
3 180 EW
3 181 SNW
3 184 EN
3 185 SW
3 186 EN
3 187 ENW
3 188 ENW
3 189 ENW
3 191 ES
3 193 SN
3 194 EN
3 195 ESW
3 196 ESW
3 197 ENW
3 198 ENW
3 200 SN
3 201 E
3 202 SNW
3 204 ES
3 206 ES
3 208 ES
3 209 SNW
3 210 EN
3 211 EW
3 212 SW
3 213 EN
3 217 ESN
3 219 EN
3 220 EW
3 221 SNW
3 222 ES
3 223 SNW
3 224 SN
3 226 E
3 230 ESN
3 231 SW
