75 75
0 0 E
0 2 ES
0 3 S
0 5 S
0 6 S
0 7 S
0 8 S
0 10 S
0 11 ES
0 14 ES
0 15 E
0 16 E
0 17 S
0 18 E
0 19 E
0 20 S
0 21 S
0 22 S
0 23 S
0 24 E
0 25 E
0 28 S
0 29 S
0 30 ES
0 31 S
0 33 E
0 34 S
0 35 S
0 36 E
0 37 S
0 38 S
0 39 S
0 40 E
0 42 S
0 43 E
0 45 ES
0 46 E
0 47 E
0 48 S
0 50 S
0 51 S
0 52 S
0 53 E
0 54 S
0 55 E
0 57 S
0 58 S
0 60 ES
0 61 S
0 63 S
0 64 ES
0 66 ES
0 68 S
0 69 S
0 70 S
0 71 ES
0 73 ES
0 74 E
1 2 ES
1 3 E
1 6 S
1 7 ES
1 8 E
1 9 S
1 10 E
1 12 E
1 14 S
1 15 S
1 16 S
1 18 S
1 20 E
1 21 E
1 23 S
1 24 S
1 25 E
1 26 ES
1 27 S
1 30 E
1 31 E
1 32 ES
1 33 E
1 34 E
1 35 E
1 36 S
1 38 ES
1 40 S
1 41 E
1 42 S
1 43 S
1 44 ES
1 45 E
1 46 E
1 48 ES
1 49 E
1 51 ES
1 52 S
1 53 S
1 54 ES
1 55 E
1 56 ES
1 57 E
1 58 S
1 59 S
1 62 S
1 63 S
1 64 S
1 65 E
1 66 S
1 67 E
1 68 E
1 69 E
1 71 E
1 74 ES
2 0 ES
2 1 S
2 2 E
2 3 S
2 4 ES
2 6 S
2 7 ES
2 8 S
2 9 E
2 10 E
2 11 E
2 12 ES
2 14 E
2 15 E
2 17 ES
2 18 S
2 19 ES
2 20 ES
2 21 E
2 23 S
2 24 ES
2 25 S
2 26 E
2 27 S
2 28 E
2 29 ES
2 30 E
2 31 E
2 34 S
2 35 S
2 37 E
2 38 S
2 40 ES
2 41 S
2 42 E
2 44 S
2 45 E
2 47 E
2 48 S
2 50 ES
2 52 E
2 53 S
2 54 S
2 56 S
2 59 E
2 60 E
2 61 ES
2 63 ES
2 64 E
2 65 E
2 66 E
2 68 ES
2 70 ES
2 72 ES
2 73 E
2 74 E
3 1 S
3 2 E
3 3 S
3 5 E
3 6 E
3 8 S
3 9 E
3 11 S
3 12 ES
3 13 ES
3 14 S
3 15 ES
3 16 S
3 17 ES
3 18 S
3 19 E
3 21 ES
3 23 ES
3 25 S
3 26 E
3 28 S
3 29 ES
3 31 E
3 32 ES
3 33 E
3 34 E
3 36 E
3 37 E
3 38 E
3 39 S
3 41 ES
3 42 E
3 43 ES
3 44 S
3 45 S
3 46 ES
3 47 S
3 48 S
3 50 ES
3 51 ES
3 52 S
3 53 E
3 54 S
3 55 S
3 56 E
3 57 ES
3 58 ES
3 59 S
3 60 ES
3 62 S
3 63 ES
3 64 E
3 66 ES
3 67 E
3 69 ES
3 70 E
3 71 S
3 72 E
3 74 E
4 0 ES
4 1 E
4 2 S
4 3 S
4 4 ES
4 5 ES
4 6 S
4 8 ES
4 9 ES
4 10 E
4 13 S
4 14 ES
4 15 E
4 16 S
4 17 S
4 19 E
4 20 S
4 21 S
4 23 E
4 24 S
4 25 E
4 26 S
4 28 ES
4 29 E
4 30 E
4 31 ES
4 32 S
4 33 ES
4 34 S
4 35 E
4 36 ES
4 37 S
4 39 ES
4 40 S
4 41 E
4 43 ES
4 44 E
4 46 ES
4 48 S
4 50 S
4 52 E
4 53 S
4 54 E
4 55 E
4 56 E
4 58 S
4 59 S
4 60 S
4 61 E
4 62 S
4 64 ES
4 65 E
4 66 E
4 67 S
4 68 S
4 70 ES
4 72 ES
4 73 E
4 74 ES
5 3 S
5 4 ES
5 5 E
5 7 S
5 8 ES
5 10 ES
5 11 ES
5 12 S
5 13 E
5 14 S
5 15 E
5 16 S
5 17 E
5 18 E
5 19 S
5 20 E
5 21 E
5 22 ES
5 23 E
5 25 S
5 26 ES
5 27 S
5 28 ES
5 29 S
5 31 S
5 33 S
5 34 ES
5 36 ES
5 37 S
5 39 S
5 40 ES
5 41 ES
5 42 S
5 43 E
5 44 E
5 45 E
5 46 S
5 47 E
5 48 E
5 49 ES
5 50 E
5 51 E
5 52 S
5 53 E
5 54 E
5 55 S
5 56 ES
5 58 ES
5 59 E
5 60 S
5 61 S
5 62 S
5 63 E
5 65 ES
5 66 S
5 67 E
5 68 E
5 69 ES
5 70 E
